feature,rss,gcv,nb_subset,timestep
DNP010_humid,0.00,0.00,0.05,7
DNP031_humid,0.00,0.00,0.05,7
DNP028_temp,0.00,0.00,0.05,7
BKK019_wl,0.00,0.00,0.03,7
PAS007_wl,0.00,0.00,0.05,7
GLF001_wl,0.00,0.00,0.05,7
DNP023_temp,0.00,0.00,0.00,7
DNP026_temp,0.00,0.00,0.00,7
CPY006_wl,0.90,0.90,0.04,8
DNP007_press,0.02,0.02,0.04,8
BKK007_wl,0.01,0.01,0.04,8
NAN008_wl,0.01,0.01,0.04,8
GLF001_wl,0.01,0.01,0.04,8
DNP001_temp,0.01,0.01,0.04,8
YOM001_wl,0.00,0.00,0.04,8
BKK019_wl,0.00,0.00,0.04,8
DNP003_press,0.00,0.00,0.04,8
DNP025_temp,0.00,0.00,0.04,8
CPY015_wl,0.00,0.00,0.04,8
PIN004_wl,0.00,0.00,0.04,8
PAS005_wl,0.00,0.00,0.04,8
DNP010_humid,0.00,0.00,0.04,8
PAS007_wl,0.00,0.00,0.04,8
THA001_wl,0.00,0.00,0.04,8
BKK005_wl,0.00,0.00,0.04,8
CPY011_wl,0.00,0.00,0.04,8
DNP028_humid,0.00,0.00,0.04,8
CPY014_wl,0.00,0.00,0.04,8
BKK001_wl,0.00,0.00,0.04,8
DIV006_wl,0.00,0.00,0.04,8
DNP009_press,0.00,0.00,0.04,8
DNP024_humid,0.00,0.00,0.04,8
CPY006_wl,0.87,0.87,0.04,9
CPY008_wl,0.06,0.06,0.04,9
PAS002_wl,0.01,0.01,0.04,9
DNP025_temp,0.01,0.01,0.04,9
CPY010_wl,0.01,0.01,0.04,9
DIV006_wl,0.00,0.00,0.04,9
NAN008_wl,0.00,0.00,0.04,9
YOM008_wl,0.00,0.00,0.04,9
DNP017_temp,0.00,0.00,0.04,9
PAS009_wl,0.00,0.00,0.04,9
PAS006_wl,0.00,0.00,0.04,9
DNP004_humid,0.00,0.00,0.04,9
CPY013_wl,0.00,0.00,0.04,9
DNP055_temp,0.00,0.00,0.04,9
DNP004_press,0.00,0.00,0.04,9
DNP006_temp,0.00,0.00,0.04,9
DNP013_press,0.00,0.00,0.04,9
BKK002_wl,0.00,0.00,0.04,9
DNP004_wl,0.00,0.00,0.04,9
VLGE12_temp,0.00,0.00,0.04,9
YOM009_wl,0.00,0.00,0.04,9
DNP013_temp,0.00,0.00,0.04,9
DNP024_temp,0.00,0.00,0.04,9
GLF001_wl,0.00,0.00,0.04,9
CPY006_wl,0.84,0.84,0.04,10
CPY015_wl,0.05,0.05,0.04,10
PAS002_wl,0.03,0.03,0.04,10
PAS005_wl,0.02,0.02,0.04,10
BKK001_wl,0.01,0.01,0.04,10
GLF001_wl,0.01,0.01,0.04,10
DNP009_press,0.01,0.01,0.04,10
PAS008_wl,0.00,0.00,0.04,10
VLGE15_rain1h,0.00,0.00,0.04,10
CPY003_wl,0.00,0.00,0.04,10
PAS007_wl,0.00,0.00,0.04,10
DNP007_temp,0.00,0.00,0.04,10
DNP028_temp,0.00,0.00,0.04,10
DNP032_wl,0.00,0.00,0.04,10
CPY010_wl,0.00,0.00,0.04,10
BKK003_wl,0.00,0.00,0.04,10
PIN001_wl,0.00,0.00,0.04,10
THA001_wl,0.00,0.00,0.04,10
CPY009_temp,0.00,0.00,0.04,10
DNP025_temp,0.00,0.00,0.04,10
NAN008_wl,0.00,0.00,0.04,10
DNP031_humid,0.00,0.00,0.04,10
CPY006_wl,0.92,0.92,0.05,11
DNP013_temp,0.01,0.01,0.05,11
PAS002_wl,0.01,0.01,0.08,11
GLF001_wl,0.01,0.01,0.05,11
BKK003_wl,0.01,0.01,0.05,11
CPY011_wl,0.01,0.01,0.05,11
NAN008_wl,0.01,0.01,0.05,11
DNP008_humid,0.00,0.00,0.05,11
VLGE12_press,0.00,0.00,0.05,11
BKK002_wl,0.00,0.00,0.05,11
PIN004_wl,0.00,0.00,0.05,11
DNP023_temp,0.00,0.00,0.05,11
DNP055_temp,0.00,0.00,0.05,11
YOM004_wl,0.00,0.00,0.05,11
BKK013_wl,0.00,0.00,0.05,11
PIN006_wl,0.00,0.00,0.05,11
PAS008_wl,0.00,0.00,0.05,11
CPY008_wl,0.00,0.00,0.05,11
DNP020_temp,0.00,0.00,0.00,11
DNP022_temp,0.00,0.00,0.00,11
CPY006_wl,0.85,0.85,0.05,12
NAN008_wl,0.04,0.04,0.05,12
CPY013_wl,0.02,0.02,0.05,12
PAS002_wl,0.02,0.02,0.05,12
PAS005_wl,0.01,0.01,0.05,12
PAS008_wl,0.01,0.01,0.05,12
BKK003_wl,0.01,0.01,0.05,12
DNP017_temp,0.01,0.01,0.05,12
CPY009_temp,0.00,0.00,0.05,12
DNP020_temp,0.00,0.00,0.05,12
DIV006_wl,0.00,0.00,0.05,12
DNP009_press,0.00,0.00,0.05,12
DNP028_temp,0.00,0.00,0.03,12
PAS007_wl,0.00,0.00,0.05,12
DNP004_wl,0.00,0.00,0.05,12
VLGE12_temp,0.00,0.00,0.05,12
PAS009_wl,0.00,0.00,0.05,12
DNP003_press,0.00,0.00,0.05,12
DNP028_press,0.00,0.00,0.05,12
KWN002_wl,0.00,0.00,0.05,12
CPY010_wl,0.83,0.83,0.08,13
NAN008_wl,0.09,0.09,0.04,13
CPY011_wl,0.01,0.01,0.04,13
PAS002_wl,0.01,0.01,0.04,13
GLF001_wl,0.01,0.01,0.02,13
BKK003_wl,0.01,0.01,0.02,13
DNP013_temp,0.00,0.00,0.04,13
DNP005_temp,0.00,0.00,0.04,13
PIN001_wl,0.00,0.00,0.04,13
DNP032_wl,0.00,0.00,0.04,13
CPY009_temp,0.00,0.00,0.04,13
DNP004_press,0.00,0.00,0.04,13
PAS005_wl,0.00,0.00,0.04,13
DIV006_wl,0.00,0.00,0.04,13
CPY006_wl,0.00,0.00,0.04,13
CHM004_wl,0.00,0.00,0.04,13
BKK007_wl,0.00,0.00,0.04,13
DNP006_temp,0.00,0.00,0.04,13
YOM006_wl,0.00,0.00,0.04,13
VLGE15_press,0.00,0.00,0.04,13
DNP023_temp,0.00,0.00,0.04,13
DNP006_humid,0.00,0.00,0.04,13
BKK002_wl,0.00,0.00,0.04,13
VLGE12_press,0.00,0.00,0.04,13
CPY006_wl,0.87,0.88,0.04,14
DNP009_press,0.02,0.02,0.04,14
PAS008_wl,0.01,0.01,0.06,14
PAS005_wl,0.01,0.01,0.04,14
NAN008_wl,0.01,0.01,0.04,14
DNP030_temp,0.01,0.01,0.04,14
NAN005_wl,0.01,0.01,0.04,14
DNP025_temp,0.01,0.01,0.04,14
GLF001_wl,0.01,0.01,0.04,14
PAS002_wl,0.00,0.00,0.04,14
CPY009_wl,0.00,0.00,0.04,14
VLGE15_press,0.00,0.00,0.04,14
YOM009_wl,0.00,0.00,0.04,14
CPY010_wl,0.00,0.00,0.04,14
BKK005_wl,0.00,0.00,0.04,14
CHM004_wl,0.00,0.00,0.04,14
PIN001_wl,0.00,0.00,0.04,14
BKK002_wl,0.00,0.00,0.04,14
NAN006_wl,0.00,0.00,0.04,14
PIN001_rain1h,0.00,0.00,0.04,14
PIN005_wl,0.00,0.00,0.04,14
DNP031_humid,0.00,0.00,0.04,14
PAS009_wl,0.00,0.00,0.04,14
VLGE25_temp,0.00,0.00,0.04,14
CPY006_wl,0.82,0.82,0.04,15
NAN008_wl,0.05,0.05,0.08,15
DNP004_press,0.03,0.03,0.04,15
PAS002_wl,0.03,0.03,0.04,15
GLF001_wl,0.02,0.02,0.04,15
DNP025_temp,0.01,0.01,0.04,15
PAS008_wl,0.01,0.01,0.04,15
DIV006_wl,0.01,0.01,0.04,15
DNP002_temp,0.01,0.01,0.04,15
PAS005_wl,0.00,0.00,0.04,15
YOM006_wl,0.00,0.00,0.04,15
YOM004_wl,0.00,0.00,0.04,15
DNP024_temp,0.00,0.00,0.04,15
DNP017_press,0.00,0.00,0.04,15
BKK021_wl,0.00,0.00,0.02,15
DNP006_temp,0.00,0.00,0.04,15
BKK001_wl,0.00,0.00,0.04,15
PAS009_wl,0.00,0.00,0.04,15
DNP013_temp,0.00,0.00,0.04,15
DNP024_humid,0.00,0.00,0.04,15
DNP031_temp,0.00,0.00,0.04,15
CPY015_wl,0.00,0.00,0.04,15
PIN001_wl,0.00,0.00,0.04,15
DNP003_press,0.00,0.00,0.04,15
CPY011_wl,0.74,0.75,0.06,16
NAN008_wl,0.13,0.13,0.08,16
CPY015_wl,0.03,0.03,0.04,16
PAS002_wl,0.02,0.02,0.04,16
BKK021_wl,0.01,0.01,0.02,16
DIV006_wl,0.01,0.01,0.04,16
DNP023_temp,0.01,0.01,0.04,16
PAS008_wl,0.01,0.01,0.04,16
YOM004_wl,0.00,0.00,0.04,16
BKK007_wl,0.00,0.00,0.04,16
GLF001_wl,0.00,0.00,0.04,16
DNP004_humid,0.00,0.00,0.04,16
NAN011_wl,0.00,0.00,0.04,16
DNP003_press,0.00,0.00,0.04,16
VLGE12_rain1h,0.00,0.00,0.04,16
WAN002_wl,0.00,0.00,0.04,16
PIN006_wl,0.00,0.00,0.04,16
PIN004_wl,0.00,0.00,0.04,16
