feature,rss,gcv,nb_subset,timestep
YOM006_wl,0.01,0.01,0.03,7
PIN003_wl,0.01,0.01,0.03,7
NAN006_wl,0.01,0.01,0.03,7
KWN002_wl,0.01,0.01,0.03,7
NAN008_wl,0.01,0.01,0.04,7
Dam_KheawNoi_Useable_WaterVol,0.01,0.01,0.01,7
CPY001_wl,0.00,0.00,0.03,7
Dam_SK_Useable_WaterVol,0.00,0.00,0.03,7
DIV002_wl,0.00,0.00,0.03,7
YOM012_wl,0.00,0.00,0.03,7
TB0005_press,0.00,0.00,0.03,7
Dam_SK_WaterVol,0.00,0.00,0.03,7
DNP026_press,0.00,0.00,0.03,7
DNP031_temp,0.00,0.00,0.03,7
DNP055_humid,0.00,0.00,0.03,7
CPY011_rain,0.00,0.00,0.03,7
DNP011_temp,0.00,0.00,0.03,7
DNP032_rain,0.00,0.00,0.03,7
VLGE12_wl,0.00,0.00,0.03,7
DNP031_press,0.00,0.00,0.03,7
PAS009_wl,0.42,0.42,0.05,8
CPY011_wl,0.20,0.20,0.03,8
LBI002_wl,0.16,0.16,0.03,8
KWN002_wl,0.05,0.05,0.05,8
CPY013_wl,0.04,0.04,0.03,8
YOM006_wl,0.02,0.01,0.03,8
VLGE13_wl,0.01,0.01,0.05,8
CPY001_wl,0.01,0.01,0.03,8
YOM007_wl,0.01,0.01,0.03,8
NAN011_wl,0.01,0.01,0.03,8
PAS006_wl,0.01,0.01,0.03,8
PAS004_wl,0.01,0.01,0.04,8
DIV006_wl,0.01,0.01,0.05,8
BKK004_wl,0.01,0.01,0.03,8
YOM009_wl,0.00,0.00,0.03,8
DNP028_press,0.00,0.00,0.03,8
DNP055_humid,0.00,0.00,0.05,8
DNP026_temp,0.00,0.00,0.03,8
DNP003_temp,0.00,0.00,0.03,8
CPY016_wl,0.00,0.00,0.03,8
BKK019_wl,0.00,0.00,0.03,8
PAS002_wl,0.00,0.00,0.03,8
DNP018_humid,0.00,0.00,0.03,8
NAN008_wl,0.00,0.00,0.03,8
WAN002_wl,0.00,0.00,0.03,8
YOM002_wl,0.00,0.00,0.03,8
YOM008_wl,0.00,0.00,0.03,8
PAS009_wl,0.58,0.58,0.05,9
YOM009_wl,0.12,0.12,0.03,9
DNP022_wl,0.05,0.05,0.03,9
Dam_KiewKorMa_Useable_WaterVol,0.05,0.05,0.03,9
