,04_train_lstm[X_sc],04_test_lstm[X_sc],05_train_wcnn_cAonly[X_sc],05_test_wcnn_cAonly[X_sc],02_train_lstm[pca_mm],02_test_lstm[pca_mm],02_tr_cnn[pca_mm],02_te_cnn[pca_mm],01_train_lstm,01_test_lstm,04_train_lstm_v2,04_test_lstm_v2,04_train_lstm[X_sc].1,04_test_lstm[X_sc].1,01_tr_cnn,01_te_cnn,04_train_lstm,04_test_lstm,05_train_wcnn+hid_cAonly,05_test_wcnn+hid_cAonly,04_tr_lstm+bat,04_t_lstm+bat,04_tr_lstm+bat.1,04_t_lstm+bat.1,04_tr_gru+bat,04_t_gru+bat
MSE,0.10783126205205916,0.3248182833194733,0.005401691421866417,0.007661020383238792,0.12161724269390105,0.3603441417217255,0.005960748065263033,0.017529446631669998,0.1305658370256424,0.3841383159160614,0.1227765828371048,0.3583923280239105,0.1250448375940323,0.36897554993629456,0.0053943763487041,0.009673367254436016,0.11862155050039293,0.3516271710395813,0.005383213050663471,0.00884938333183527,0.15110139548778534,0.3835616409778595,0.12359421700239186,0.3606666922569275,0.14599329233169556,0.3271169066429138
rmse,0.32837670753581044,0.569928314193525,0.07349620005052246,0.08752725508799412,0.3487366380148508,0.6002867162629251,0.07720588102769782,0.13239881657956765,0.36133895033007774,0.6197889285200741,0.3503948955637122,0.5986587742812348,0.3536167948415803,0.6074335765631453,0.07344641821562232,0.09835327780219638,0.3444147942530821,0.5929815941828054,0.07337038265310786,0.09407116099972017,0.3887176295047413,0.6193235349781724,0.3515596919477428,0.6005553198972826,0.3820906860049006,0.5719413489536439
R2,-3.729358933608392,-8.735021066247374,0.7630873112683891,0.7703811871137298,-4.3339469103263015,-9.79655298538692,0.7385685221742152,0.4746824206660071,-4.726495486685969,-10.510292329559752,-4.384999321480716,-9.73948021673006,-4.484365004086458,-10.056017719788493,0.7634082671709083,0.7100491754288681,-4.202624922418272,-9.536192817191075,0.7638979983696927,0.7347180275558224,-5.627031125890603,-10.483245265842656,-4.4206728887833355,-9.806584308710855,-5.403056327392322,-8.7979308472467
NSE,-3.72935962677002,-8.732119560241701,0.7630878239870071,0.7704625427722931,-4.333997249603272,-9.79653549194336,0.7385682165622711,0.4747873544692993,-4.7264723777771,-10.509450912475586,-4.384844303131104,-9.738056182861328,-4.484327793121338,-10.055147171020508,0.7634086459875107,0.7101691365242004,-4.2026095390319815,-9.535360336303713,0.7638982534408569,0.7348571121692657,-5.6271395683288565,-10.492172241210938,-4.420705318450928,-9.80620002746582,-5.403103828430176,-8.800990104675293
mape,inf,0.8866230845451355,inf,0.13719263672828674,inf,0.9516882300376892,inf,0.1985906809568405,inf,0.9855087995529176,inf,0.946131706237793,inf,0.9659416079521179,inf,0.14791646599769592,inf,0.938413679599762,inf,0.1408645659685135,inf,0.8910843729972839,inf,0.9531210064888,inf,0.8216349482536316
mae,0.28228023648262024,0.5327916741371155,0.06107176840305328,0.07432479411363603,0.30943965911865234,0.5687587261199951,0.0643654614686966,0.11471827328205107,0.3248023986816406,0.5875658392906189,0.3103590309619904,0.5652204155921936,0.31773367524147034,0.5761163234710693,0.06149265170097351,0.08187685906887054,0.30765920877456665,0.5610107779502869,0.061037369072437286,0.07699663192033768,0.31673872470855713,0.5278636813163757,0.3157786428928375,0.5682148337364197,0.31140947341918945,0.4779469966888428
mpe,,-0.8859351277351379,inf,-0.05589257553219795,,-0.9516683220863342,inf,-0.1487591415643692,,-0.9855087995529176,,-0.9460187554359436,,-0.9659416079521179,inf,-0.07439371943473816,,-0.938413679599762,inf,-0.06324688345193863,,-0.8528152108192444,,-0.9531210064888,,-0.7296432256698608
