,date,Name,WaterVol,Useable_WaterVol,Input_WaterVol,Output_WaterVol,location
1,2010-01-01,เขื่อนภูมิพล,"8,508","4,708.00",2.96,20.02,North
2,2010-01-01,เขื่อนสิริกิติ์,"5,390","2,540.00",4.73,25.13,North
4,2010-01-01,เขื่อนกิ่วลม,85,81.00,0.26,0.12,North
6,2010-01-01,เขื่อนกิ่วคอหมา,123,116.00,0.04,0.25,North
7,2010-01-01,เขื่อนแควน้อย,540,504.00,1.32,4.32,North
48,2010-01-02,เขื่อนภูมิพล,"8,475","4,675.00",0.03,30.00,North
49,2010-01-02,เขื่อนสิริกิติ์,"5,374","2,524.00",3.12,18.12,North
51,2010-01-02,เขื่อนกิ่วลม,85,81.00,0.53,0.12,North
53,2010-01-02,เขื่อนกิ่วคอหมา,,116.00,0.04,0.25,North
54,2010-01-02,เขื่อนแควน้อย,534,498.00,0.27,6.05,North
95,2010-01-03,เขื่อนภูมิพล,"8,454","4,654.00",0.0,18.00,North
96,2010-01-03,เขื่อนสิริกิติ์,"5,361","2,511.00",7.05,20.07,North
98,2010-01-03,เขื่อนกิ่วลม,86,82.00,0.44,0.12,North
100,2010-01-03,เขื่อนกิ่วคอหมา,123,116.00,0.04,0.25,North
101,2010-01-03,เขื่อนแควน้อย,534,498.00,0.27,6.05,North
142,2010-01-04,เขื่อนภูมิพล,"8,440","4,640.00",5.02,18.00,North
143,2010-01-04,เขื่อนสิริกิติ์,"5,345","2,495.00",5.05,20.01,North
145,2010-01-04,เขื่อนกิ่วลม,86,82.00,0.38,0.12,North
147,2010-01-04,เขื่อนกิ่วคอหมา,121,115.00,0.05,0.25,North
148,2010-01-04,เขื่อนแควน้อย,525,489.00,2.69,6.05,North
189,2010-01-05,เขื่อนภูมิพล,"8,417","4,617.00",0.71,23.00,North
190,2010-01-05,เขื่อนสิริกิติ์,"5,327","2,477.00",3.03,19.91,North
192,2010-01-05,เขื่อนกิ่วลม,86,82.00,0.25,0.58,North
194,2010-01-05,เขื่อนกิ่วคอหมา,121,115.00,0.0,0.25,North
195,2010-01-05,เขื่อนแควน้อย,521,485.00,2.41,8.64,North
236,2010-01-06,เขื่อนภูมิพล,"8,384","4,584.00",6.3,38.00,North
237,2010-01-06,เขื่อนสิริกิติ์,"5,310","2,460.00",3.33,20.18,North
239,2010-01-06,เขื่อนกิ่วลม,85,81.00,0.46,0.86,North
241,2010-01-06,เขื่อนกิ่วคอหมา,121,115.00,0.05,0.25,North
242,2010-01-06,เขื่อนแควน้อย,515,479.00,2.2,8.64,North
283,2010-01-07,เขื่อนภูมิพล,"8,343","4,543.00",0.0,38.00,North
284,2010-01-07,เขื่อนสิริกิติ์,"5,294","2,444.00",5.2,20.08,North
286,2010-01-07,เขื่อนกิ่วลม,85,81.00,0.47,0.85,North
288,2010-01-07,เขื่อนกิ่วคอหมา,121,115.00,0.35,0.25,North
289,2010-01-07,เขื่อนแควน้อย,509,473.00,3.04,8.64,North
330,2010-01-08,เขื่อนภูมิพล,"8,311","4,511.00",6.29,38.00,North
331,2010-01-08,เขื่อนสิริกิติ์,"5,285","2,436.00",11.12,20.15,North
333,2010-01-08,เขื่อนกิ่วลม,85,81.00,0.69,0.85,North
335,2010-01-08,เขื่อนกิ่วคอหมา,121,115.00,0.25,0.25,North
336,2010-01-08,เขื่อนแควน้อย,503,467.00,2.85,8.64,North
377,2010-01-09,เขื่อนภูมิพล,"8,270","4,470.00",0.0,38.00,North
378,2010-01-09,เขื่อนสิริกิติ์,"5,267","2,417.00",3.3,20.08,North
380,2010-01-09,เขื่อนกิ่วลม,85,81.00,0.69,0.85,North
382,2010-01-09,เขื่อนกิ่วคอหมา,121,115.00,0.25,0.25,North
383,2010-01-09,เขื่อนแควน้อย,503,467.00,2.85,8.64,North
424,2010-01-10,เขื่อนภูมิพล,"8,241","4,441.00",3.48,32.00,North
425,2010-01-10,เขื่อนสิริกิติ์,"5,256","2,406.00",7.08,18.02,North
427,2010-01-10,เขื่อนกิ่วลม,85,81.00,0.72,0.85,North
429,2010-01-10,เขื่อนกิ่วคอหมา,121,115.00,0.25,0.25,North
430,2010-01-10,เขื่อนแควน้อย,503,467.00,2.85,8.64,North
471,2010-01-11,เขื่อนภูมิพล,"8,216","4,416.00",4.12,28.00,North
472,2010-01-11,เขื่อนสิริกิติ์,"5,244","2,394.00",7.09,18.02,North
474,2010-01-11,เขื่อนกิ่วลม,83,79.00,0.15,1.39,North
476,2010-01-11,เขื่อนกิ่วคอหมา,121,114.00,0.04,0.25,North
477,2010-01-11,เขื่อนแควน้อย,497,461.00,0.99,3.02,North
518,2010-01-12,เขื่อนภูมิพล,"8,186","4,386.00",3.67,32.00,North
519,2010-01-12,เขื่อนสิริกิติ์,"5,230","2,380.00",5.29,18.13,North
521,2010-01-12,เขื่อนกิ่วลม,83,79.00,0.58,1.13,North
523,2010-01-12,เขื่อนกิ่วคอหมา,120,114.00,0.05,0.25,North
524,2010-01-12,เขื่อนแควน้อย,496,460.00,1.28,3.02,North
565,2010-01-13,เขื่อนภูมิพล,"8,153","4,353.00",0.0,32.00,North
566,2010-01-13,เขื่อนสิริกิติ์,"5,217","2,367.00",5.23,18.05,North
568,2010-01-13,เขื่อนกิ่วลม,82,78.00,0.56,1.25,North
570,2010-01-13,เขื่อนกิ่วคอหมา,120,114.00,0.05,0.25,North
571,2010-01-13,เขื่อนแควน้อย,494,458.00,0.99,3.02,North
612,2010-01-14,เขื่อนภูมิพล,"8,121","4,321.00",2.77,33.00,North
613,2010-01-14,เขื่อนสิริกิติ์,"5,200","2,350.00",2.35,19.00,North
615,2010-01-14,เขื่อนกิ่วลม,81,77.00,0.49,1.32,North
617,2010-01-14,เขื่อนกิ่วคอหมา,120,114.00,0.15,0.25,North
618,2010-01-14,เขื่อนแควน้อย,492,456.00,1.29,3.02,North
659,2010-01-15,เขื่อนภูมิพล,"8,081","4,281.00",0.0,33.00,North
660,2010-01-15,เขื่อนสิริกิติ์,"5,184","2,334.00",4.31,19.01,North
662,2010-01-15,เขื่อนกิ่วลม,80,76.00,0.49,1.31,North
664,2010-01-15,เขื่อนกิ่วคอหมา,120,114.00,0.14,0.25,North
665,2010-01-15,เขื่อนแควน้อย,490,454.00,0.7,3.02,North
706,2010-01-16,เขื่อนภูมิพล,"8,048","4,248.00",0.65,33.00,North
707,2010-01-16,เขื่อนสิริกิติ์,"5,167","2,317.00",2.41,19.00,North
709,2010-01-16,เขื่อนกิ่วลม,80,76.00,0.49,1.31,North
711,2010-01-16,เขื่อนกิ่วคอหมา,120,114.00,0.14,0.25,North
712,2010-01-16,เขื่อนแควน้อย,490,454.00,0.7,3.02,North
753,2010-01-17,เขื่อนภูมิพล,"8,031","4,231.00",1.64,18.00,North
754,2010-01-17,เขื่อนสิริกิติ์,"5,146","2,296.00",3.69,24.08,North
756,2010-01-17,เขื่อนกิ่วลม,79,75.00,0.62,1.30,North
758,2010-01-17,เขื่อนกิ่วคอหมา,120,114.00,0.14,0.25,North
759,2010-01-17,เขื่อนแควน้อย,490,454.00,0.7,3.02,North
800,2010-01-18,เขื่อนภูมิพล,"8,013","4,213.00",1.29,18.00,North
801,2010-01-18,เขื่อนสิริกิติ์,"5,131","2,281.00",8.37,22.99,North
803,2010-01-18,เขื่อนกิ่วลม,78,74.00,0.45,1.30,North
805,2010-01-18,เขื่อนกิ่วคอหมา,119,113.00,0.0,0.25,North
806,2010-01-18,เขื่อนแควน้อย,483,447.00,0.7,3.02,North
847,2010-01-19,เขื่อนภูมิพล,"7,989","4,189.00",1.87,24.98,North
848,2010-01-19,เขื่อนสิริกิติ์,"5,115","2,265.00",1.32,15.91,North
850,2010-01-19,เขื่อนกิ่วลม,77,73.00,0.24,1.22,North
852,2010-01-19,เขื่อนกิ่วคอหมา,119,113.00,0.0,0.25,North
853,2010-01-19,เขื่อนแควน้อย,481,445.00,0.99,3.02,North
894,2010-01-20,เขื่อนภูมิพล,"7,965","4,165.00",2.88,25.00,North
895,2010-01-20,เขื่อนสิริกิติ์,"5,100","2,250.00",3.46,18.03,North
897,2010-01-20,เขื่อนกิ่วลม,77,73.00,0.37,0.56,North
899,2010-01-20,เขื่อนกิ่วคอหมา,119,113.00,0.04,0.25,North
900,2010-01-20,เขื่อนแควน้อย,479,443.00,0.78,3.02,North
941,2010-01-21,เขื่อนภูมิพล,"7,937","4,137.00",0.0,25.00,North
942,2010-01-21,เขื่อนสิริกิติ์,"5,087","2,237.00",5.34,17.98,North
944,2010-01-21,เขื่อนกิ่วลม,77,73.00,0.5,0.12,North
946,2010-01-21,เขื่อนกิ่วคอหมา,118,112.00,0.0,0.25,North
947,2010-01-21,เขื่อนแควน้อย,476,440.00,1.03,3.46,North
988,2010-01-22,เขื่อนภูมิพล,"7,911","4,111.00",0.0,25.00,North
989,2010-01-22,เขื่อนสิริกิติ์,"5,072","2,222.00",3.5,18.02,North
991,2010-01-22,เขื่อนกิ่วลม,77,73.00,0.53,0.12,North
993,2010-01-22,เขื่อนกิ่วคอหมา,118,112.00,0.06,0.25,North
994,2010-01-22,เขื่อนแควน้อย,474,438.00,1.03,3.46,North
1035,2010-01-23,เขื่อนภูมิพล,"7,876","4,076.00",0.0,32.00,North
1036,2010-01-23,เขื่อนสิริกิติ์,"5,058","2,208.00",5.55,18.15,North
1038,2010-01-23,เขื่อนกิ่วลม,78,74.00,0.45,0.32,North
1040,2010-01-23,เขื่อนกิ่วคอหมา,118,112.00,0.05,0.25,North
1041,2010-01-23,เขื่อนแควน้อย,472,436.00,0.86,3.02,North
1082,2010-01-24,เขื่อนภูมิพล,"7,846","4,046.00",1.76,32.00,North
1083,2010-01-24,เขื่อนสิริกิติ์,"5,043","2,193.00",3.67,18.04,North
1085,2010-01-24,เขื่อนกิ่วลม,78,74.00,0.46,0.32,North
1087,2010-01-24,เขื่อนกิ่วคอหมา,118,112.00,0.05,0.25,North
1088,2010-01-24,เขื่อนแควน้อย,470,434.00,0.86,3.02,North
1129,2010-01-25,เขื่อนภูมิพล,"7,876","4,076.00",0.0,32.00,North
1130,2010-01-25,เขื่อนสิริกิติ์,"5,058","2,208.00",5.55,18.15,North
1132,2010-01-25,เขื่อนกิ่วลม,78,74.00,0.45,0.32,North
1134,2010-01-25,เขื่อนกิ่วคอหมา,118,112.00,0.05,0.25,North
1135,2010-01-25,เขื่อนแควน้อย,472,436.00,0.86,3.02,North
1176,2010-01-26,เขื่อนภูมิพล,"7,791","3,991.00",2.73,28.00,North
1177,2010-01-26,เขื่อนสิริกิติ์,"5,013","2,163.00",0.0,16.00,North
1179,2010-01-26,เขื่อนกิ่วลม,79,75.00,0.74,0.12,North
1181,2010-01-26,เขื่อนกิ่วคอหมา,117,111.00,0.06,0.25,North
1182,2010-01-26,เขื่อนแควน้อย,465,429.00,0.86,3.02,North
1223,2010-01-27,เขื่อนภูมิพล,"7,757","3,957.00",3.62,38.00,North
1224,2010-01-27,เขื่อนสิริกิติ์,"4,996","2,146.00",3.74,20.02,North
1226,2010-01-27,เขื่อนกิ่วลม,79,75.00,0.31,0.12,North
1228,2010-01-27,เขื่อนกิ่วคอหมา,117,111.00,0.05,0.25,North
1229,2010-01-27,เขื่อนแควน้อย,462,426.00,1.4,5.18,North
1270,2010-01-28,เขื่อนภูมิพล,"7,717","3,917.00",0.0,38.00,North
1271,2010-01-28,เขื่อนสิริกิติ์,"4,979","2,129.00",3.82,20.06,North
1273,2010-01-28,เขื่อนกิ่วลม,79,75.00,0.53,0.21,North
1275,2010-01-28,เขื่อนกิ่วคอหมา,117,111.00,0.05,0.25,North
1276,2010-01-28,เขื่อนแควน้อย,458,422.00,1.4,5.18,North
1317,2010-01-29,เขื่อนภูมิพล,"7,680","3,880.00",1.42,38.00,North
1318,2010-01-29,เขื่อนสิริกิติ์,"4,962","2,112.00",3.83,20.04,North
1320,2010-01-29,เขื่อนกิ่วลม,80,76.00,0.49,0.12,North
1322,2010-01-29,เขื่อนกิ่วคอหมา,117,111.00,0.15,0.25,North
1323,2010-01-29,เขื่อนแควน้อย,454,418.00,1.4,5.18,North
1364,2010-01-30,เขื่อนภูมิพล,"7,636","3,836.00",0.0,38.00,North
1365,2010-01-30,เขื่อนสิริกิติ์,"4,945","2,095.00",3.88,20.06,North
1367,2010-01-30,เขื่อนกิ่วลม,80,76.00,0.49,0.12,North
1369,2010-01-30,เขื่อนกิ่วคอหมา,117,111.00,0.15,0.25,North
1370,2010-01-30,เขื่อนแควน้อย,451,415.00,0.56,3.46,North
1411,2010-01-31,เขื่อนภูมิพล,"7,611","3,811.00",1.16,25.00,North
1412,2010-01-31,เขื่อนสิริกิติ์,"4,925","2,075.00",3.24,23.12,North
1414,2010-01-31,เขื่อนกิ่วลม,79,75.00,0.19,0.83,North
1416,2010-01-31,เขื่อนกิ่วคอหมา,117,111.00,0.15,0.25,North
1417,2010-01-31,เขื่อนแควน้อย,448,412.00,0.6,3.46,North
1458,2010-02-01,เขื่อนภูมิพล,"7,600","3,800.00",0.0,30.00,North
1459,2010-02-01,เขื่อนสิริกิติ์,"4,910","2,060.00",4.01,18.26,North
1461,2010-02-01,เขื่อนกิ่วลม,77,73.00,0.3,1.33,North
1463,2010-02-01,เขื่อนกิ่วคอหมา,117,111.00,0.05,0.25,North
1464,2010-02-01,เขื่อนแควน้อย,446,410.00,1.12,3.46,North
1505,2010-02-02,เขื่อนภูมิพล,"7,550","3,750.00",0.85,28.00,North
1506,2010-02-02,เขื่อนสิริกิติ์,"4,897","2,047.00",3.88,16.01,North
1508,2010-02-02,เขื่อนกิ่วลม,76,72.00,0.18,1.32,North
1510,2010-02-02,เขื่อนกิ่วคอหมา,117,110.00,0.05,0.25,North
1511,2010-02-02,เขื่อนแควน้อย,443,407.00,0.42,3.02,North
1552,2010-02-03,เขื่อนภูมิพล,"7,519","3,719.00",0.0,29.00,North
1553,2010-02-03,เขื่อนสิริกิติ์,"4,880","2,030.00",3.16,18.98,North
1555,2010-02-03,เขื่อนกิ่วลม,75,71.00,0.18,1.31,North
1557,2010-02-03,เขื่อนกิ่วคอหมา,116,110.00,0.05,0.25,North
1558,2010-02-03,เขื่อนแควน้อย,442,406.00,1.2,3.02,North
1599,2010-02-04,เขื่อนภูมิพล,"7,487","3,687.00",0.0,29.00,North
1600,2010-02-04,เขื่อนสิริกิติ์,"4,864","2,014.00",3.26,19.05,North
1602,2010-02-04,เขื่อนกิ่วลม,74,70.00,0.25,1.40,North
1604,2010-02-04,เขื่อนกิ่วคอหมา,116,110.00,0.05,0.25,North
1605,2010-02-04,เขื่อนแควน้อย,439,403.00,0.68,3.02,North
1646,2010-02-05,เขื่อนภูมิพล,"7,447","3,647.00",0.0,38.00,North
1647,2010-02-05,เขื่อนสิริกิติ์,"4,847","1,997.00",3.26,19.01,North
1649,2010-02-05,เขื่อนกิ่วลม,73,69.00,0.46,1.42,North
1651,2010-02-05,เขื่อนกิ่วคอหมา,116,110.00,0.06,0.25,North
1652,2010-02-05,เขื่อนแควน้อย,437,401.00,0.92,3.02,North
1693,2010-02-06,เขื่อนภูมิพล,"7,405","3,605.00",0.0,38.03,North
1694,2010-02-06,เขื่อนสิริกิติ์,"4,830","1,980.00",3.4,19.12,North
1696,2010-02-06,เขื่อนกิ่วลม,73,69.00,0.46,1.42,North
1698,2010-02-06,เขื่อนกิ่วคอหมา,116,110.00,0.06,0.25,North
1699,2010-02-06,เขื่อนแควน้อย,437,401.00,0.92,3.02,North
1740,2010-02-07,เขื่อนภูมิพล,"7,366","3,566.00",0.0,38.06,North
1741,2010-02-07,เขื่อนสิริกิติ์,"4,814","1,964.00",3.3,18.99,North
1743,2010-02-07,เขื่อนกิ่วลม,73,69.00,0.46,1.42,North
1745,2010-02-07,เขื่อนกิ่วคอหมา,116,110.00,0.06,0.25,North
1746,2010-02-07,เขื่อนแควน้อย,432,396.00,0.42,3.02,North
1787,2010-02-08,เขื่อนภูมิพล,"7,329","3,529.00",0.0,32.00,North
1788,2010-02-08,เขื่อนสิริกิติ์,"4,799","1,949.00",4.35,18.17,North
1790,2010-02-08,เขื่อนกิ่วลม,72,68.00,0.68,0.53,North
1792,2010-02-08,เขื่อนกิ่วคอหมา,115,109.00,0.06,0.25,North
1793,2010-02-08,เขื่อนแควน้อย,430,394.00,0.42,3.02,North
1834,2010-02-09,เขื่อนภูมิพล,"7,294","3,494.00",0.28,34.00,North
1835,2010-02-09,เขื่อนสิริกิติ์,"4,783","1,933.00",4.47,20.10,North
1837,2010-02-09,เขื่อนกิ่วลม,72,68.00,0.59,0.53,North
1839,2010-02-09,เขื่อนกิ่วคอหมา,115,109.00,0.0,0.25,North
1840,2010-02-09,เขื่อนแควน้อย,428,392.00,1.2,3.02,North
1881,2010-02-10,เขื่อนภูมิพล,"7,257","3,457.00",0.0,34.00,North
1882,2010-02-10,เขื่อนสิริกิติ์,"4,766","1,916.00",4.38,19.97,North
1884,2010-02-10,เขื่อนกิ่วลม,72,68.00,0.25,0.53,North
1886,2010-02-10,เขื่อนกิ่วคอหมา,115,108.00,0.05,0.25,North
1887,2010-02-10,เขื่อนแควน้อย,426,390.00,1.26,3.02,North
1928,2010-02-11,เขื่อนภูมิพล,"7,215","3,415.00",0.0,38.00,North
1929,2010-02-11,เขื่อนสิริกิติ์,"4,748","1,898.00",4.66,22.04,North
1931,2010-02-11,เขื่อนกิ่วลม,71,67.00,0.38,0.53,North
1933,2010-02-11,เขื่อนกิ่วคอหมา,114,108.00,0.0,0.25,North
1934,2010-02-11,เขื่อนแควน้อย,424,388.00,1.1,3.02,North
1975,2010-02-12,เขื่อนภูมิพล,"7,173","3,373.00",0.0,38.00,North
1976,2010-02-12,เขื่อนสิริกิติ์,"4,730","1,880.00",4.69,22.03,North
1978,2010-02-12,เขื่อนกิ่วลม,71,67.00,0.41,0.53,North
1980,2010-02-12,เขื่อนกิ่วคอหมา,114,108.00,0.05,0.25,North
1981,2010-02-12,เขื่อนแควน้อย,422,386.00,0.62,3.02,North
2022,2010-02-13,เขื่อนภูมิพล,"7,130","3,330.00",0.0,38.00,North
2023,2010-02-13,เขื่อนสิริกิติ์,"4,710","1,860.00",2.92,22.04,North
2025,2010-02-13,เขื่อนกิ่วลม,71,67.00,0.41,0.53,North
2027,2010-02-13,เขื่อนกิ่วคอหมา,114,108.00,0.05,0.25,North
2028,2010-02-13,เขื่อนแควน้อย,420,384.00,1.1,3.02,North
2069,2010-02-14,เขื่อนภูมิพล,"7,093","3,293.00",0.0,34.00,North
2070,2010-02-14,เขื่อนสิริกิติ์,"4,693","1,843.00",4.59,20.03,North
2072,2010-02-14,เขื่อนกิ่วลม,71,67.00,0.29,0.77,North
2074,2010-02-14,เขื่อนกิ่วคอหมา,114,108.00,0.05,0.25,North
2075,2010-02-14,เขื่อนแควน้อย,420,384.00,1.1,3.02,North
2116,2010-02-15,เขื่อนภูมิพล,"7,054","3,254.00",0.0,34.00,North
2117,2010-02-15,เขื่อนสิริกิติ์,"4,675","1,825.00",2.93,20.15,North
2119,2010-02-15,เขื่อนกิ่วลม,69,65.00,0.07,0.93,North
2121,2010-02-15,เขื่อนกิ่วคอหมา,113,107.00,0.0,0.25,North
2122,2010-02-15,เขื่อนแควน้อย,416,380.00,0.86,3.02,North
2163,2010-02-16,เขื่อนภูมิพล,"7,016","3,216.00",0.0,35.00,North
2164,2010-02-16,เขื่อนสิริกิติ์,"4,659","1,809.00",4.66,20.03,North
2166,2010-02-16,เขื่อนกิ่วลม,68,64.00,0.07,0.93,North
2168,2010-02-16,เขื่อนกิ่วคอหมา,113,107.00,0.0,0.25,North
2169,2010-02-16,เขื่อนแควน้อย,413,377.00,0.62,3.02,North
2210,2010-02-17,เขื่อนภูมิพล,"6,976","3,176.00",0.0,35.50,North
2211,2010-02-17,เขื่อนสิริกิติ์,"4,641","1,791.00",3.05,20.19,North
2213,2010-02-17,เขื่อนกิ่วลม,67,63.00,0.16,1.02,North
2215,2010-02-17,เขื่อนกิ่วคอหมา,113,106.00,0.0,0.25,North
2216,2010-02-17,เขื่อนแควน้อย,412,376.00,1.58,3.02,North
2257,2010-02-18,เขื่อนภูมิพล,"6,935","3,135.00",0.0,35.50,North
2258,2010-02-18,เขื่อนสิริกิติ์,"4,625","1,775.00",5.76,21.06,North
2260,2010-02-18,เขื่อนกิ่วลม,66,62.00,0.31,1.55,North
2262,2010-02-18,เขื่อนกิ่วคอหมา,112,106.00,0.06,0.25,North
2263,2010-02-18,เขื่อนแควน้อย,410,374.00,1.1,3.02,North
2304,2010-02-19,เขื่อนภูมิพล,"6,896","3,096.00",0.0,36.00,North
2305,2010-02-19,เขื่อนสิริกิติ์,"4,603","1,753.00",0.51,21.14,North
2307,2010-02-19,เขื่อนกิ่วลม,65,61.00,0.36,1.61,North
2309,2010-02-19,เขื่อนกิ่วคอหมา,112,106.00,0.06,0.25,North
2310,2010-02-19,เขื่อนแควน้อย,408,372.00,0.62,3.02,North
2351,2010-02-20,เขื่อนภูมิพล,"6,855","3,055.00",0.0,36.00,North
2352,2010-02-20,เขื่อนสิริกิติ์,"4,584","1,734.00",2.25,21.04,North
2354,2010-02-20,เขื่อนกิ่วลม,65,61.00,0.36,1.61,North
2356,2010-02-20,เขื่อนกิ่วคอหมา,112,106.00,0.06,0.25,North
2357,2010-02-20,เขื่อนแควน้อย,408,372.00,0.62,3.02,North
2398,2010-02-21,เขื่อนภูมิพล,"6,855","3,055.00",0.0,36.00,North
2399,2010-02-21,เขื่อนสิริกิติ์,"4,584","1,734.00",2.25,21.04,North
2401,2010-02-21,เขื่อนกิ่วลม,64,60.00,0.12,1.01,North
2403,2010-02-21,เขื่อนกิ่วคอหมา,112,106.00,0.06,0.25,North
2404,2010-02-21,เขื่อนแควน้อย,408,372.00,0.62,3.02,North
2445,2010-02-22,เขื่อนภูมิพล,"6,800","3,000.00",0.0,25.00,North
2446,2010-02-22,เขื่อนสิริกิติ์,"4,538","1,688.00",2.79,25.01,North
2448,2010-02-22,เขื่อนกิ่วลม,64,60.00,0.59,0.59,North
2450,2010-02-22,เขื่อนกิ่วคอหมา,111,105.00,0.03,0.40,North
2451,2010-02-22,เขื่อนแควน้อย,401,365.00,0.52,3.02,North
2492,2010-02-23,เขื่อนภูมิพล,"6,751","2,951.00",0.0,35.00,North
2493,2010-02-23,เขื่อนสิริกิติ์,"4,520","1,670.00",3.19,20.03,North
2495,2010-02-23,เขื่อนกิ่วลม,64,60.00,0.59,0.59,North
2497,2010-02-23,เขื่อนกิ่วคอหมา,111,105.00,0.19,0.40,North
2498,2010-02-23,เขื่อนแควน้อย,399,363.00,1.27,3.02,North
2539,2010-02-24,เขื่อนภูมิพล,"6,712","2,912.00",0.61,38.00,North
2540,2010-02-24,เขื่อนสิริกิติ์,"4,499","1,649.00",3.66,23.99,North
2542,2010-02-24,เขื่อนกิ่วลม,64,60.00,0.48,0.59,North
2544,2010-02-24,เขื่อนกิ่วคอหมา,110,104.00,0.19,0.40,North
2545,2010-02-24,เขื่อนแควน้อย,397,361.00,0.77,3.02,North
2586,2010-02-25,เขื่อนภูมิพล,"6,667","2,867.00",0.0,38.00,North
2587,2010-02-25,เขื่อนสิริกิติ์,"4,478","1,628.00",3.63,23.89,North
2589,2010-02-25,เขื่อนกิ่วลม,64,60.00,0.59,0.59,North
2591,2010-02-25,เขื่อนกิ่วคอหมา,110,104.00,0.0,0.40,North
2592,2010-02-25,เขื่อนแควน้อย,394,358.00,0.52,3.02,North
2633,2010-02-26,เขื่อนภูมิพล,"6,626","2,826.00",0.0,38.00,North
2634,2010-02-26,เขื่อนสิริกิติ์,"4,456","1,606.00",3.85,24.05,North
2636,2010-02-26,เขื่อนกิ่วลม,64,60.00,0.64,0.74,North
2638,2010-02-26,เขื่อนกิ่วคอหมา,109,103.00,0.0,0.40,North
2639,2010-02-26,เขื่อนแควน้อย,392,356.00,0.77,3.02,North
2680,2010-02-27,เขื่อนภูมิพล,"6,583","2,783.00",0.0,38.00,North
2681,2010-02-27,เขื่อนสิริกิติ์,"4,436","1,586.00",3.91,24.05,North
2683,2010-02-27,เขื่อนกิ่วลม,64,60.00,0.64,0.74,North
2685,2010-02-27,เขื่อนกิ่วคอหมา,109,103.00,0.0,0.40,North
2686,2010-02-27,เขื่อนแควน้อย,392,356.00,0.77,3.02,North
2727,2010-02-28,เขื่อนภูมิพล,"6,543","2,743.00",0.0,38.00,North
2728,2010-02-28,เขื่อนสิริกิติ์,"4,411","1,561.00",0.51,24.06,North
2730,2010-02-28,เขื่อนกิ่วลม,64,60.00,0.82,0.82,North
2732,2010-02-28,เขื่อนกิ่วคอหมา,109,103.00,0.0,0.40,North
2733,2010-02-28,เขื่อนแควน้อย,392,356.00,0.77,3.02,North
2774,2010-03-01,เขื่อนภูมิพล,"6,513","2,713.00",0.0,30.00,North
2775,2010-03-01,เขื่อนสิริกิติ์,"4,394","1,544.00",3.73,20.25,North
2777,2010-03-01,เขื่อนกิ่วลม,64,60.00,0.92,0.82,North
2779,2010-03-01,เขื่อนกิ่วคอหมา,109,103.00,0.0,0.40,North
2780,2010-03-01,เขื่อนแควน้อย,392,356.00,0.77,3.02,North
2821,2010-03-02,เขื่อนภูมิพล,"6,476","2,676.00",0.0,32.00,North
2822,2010-03-02,เขื่อนสิริกิติ์,"4,378","1,528.00",3.27,18.02,North
2824,2010-03-02,เขื่อนกิ่วลม,64,60.00,0.91,0.91,North
2826,2010-03-02,เขื่อนกิ่วคอหมา,106,100.00,0.0,0.67,North
2827,2010-03-02,เขื่อนแควน้อย,372,336.00,2.51,6.91,North
2868,2010-03-03,เขื่อนภูมิพล,"6,437","2,637.00",0.0,36.00,North
2869,2010-03-03,เขื่อนสิริกิติ์,"4,357","1,507.00",1.17,21.06,North
2871,2010-03-03,เขื่อนกิ่วลม,64,60.00,0.91,0.91,North
2873,2010-03-03,เขื่อนกิ่วคอหมา,105,99.00,0.0,0.67,North
2874,2010-03-03,เขื่อนแควน้อย,367,331.00,2.07,6.91,North
2915,2010-03-04,เขื่อนภูมิพล,"6,399","2,599.00",0.0,36.00,North
2916,2010-03-04,เขื่อนสิริกิติ์,"4,337","1,487.00",1.2,21.02,North
2918,2010-03-04,เขื่อนกิ่วลม,64,60.00,0.9,1.00,North
2920,2010-03-04,เขื่อนกิ่วคอหมา,104,98.00,0.0,0.67,North
2921,2010-03-04,เขื่อนแควน้อย,362,326.00,1.85,6.91,North
2962,2010-03-05,เขื่อนภูมิพล,"6,361","2,561.00",0.0,36.00,North
2963,2010-03-05,เขื่อนสิริกิติ์,"4,318","1,468.00",2.85,20.90,North
2965,2010-03-05,เขื่อนกิ่วลม,64,60.00,0.8,1.12,North
2967,2010-03-05,เขื่อนกิ่วคอหมา,103,97.00,0.0,0.67,North
2968,2010-03-05,เขื่อนแควน้อย,357,321.00,1.85,6.91,North
3009,2010-03-06,เขื่อนภูมิพล,"6,324","2,524.00",0.47,36.00,North
3010,2010-03-06,เขื่อนสิริกิติ์,"4,299","1,449.00",2.94,20.93,North
3012,2010-03-06,เขื่อนกิ่วลม,64,60.00,0.8,1.12,North
3014,2010-03-06,เขื่อนกิ่วคอหมา,103,97.00,0.0,0.67,North
3015,2010-03-06,เขื่อนแควน้อย,357,321.00,1.85,6.91,North
3056,2010-03-07,เขื่อนภูมิพล,"6,290","2,490.00",1.54,35.00,North
3057,2010-03-07,เขื่อนสิริกิติ์,"4,282","1,432.00",3.89,20.12,North
3059,2010-03-07,เขื่อนกิ่วลม,64,60.00,0.8,1.12,North
3061,2010-03-07,เขื่อนกิ่วคอหมา,103,97.00,0.0,0.67,North
3062,2010-03-07,เขื่อนแควน้อย,357,321.00,1.85,6.91,North
3103,2010-03-08,เขื่อนภูมิพล,"6,260","2,460.00",1.32,30.00,North
